"Year","Country_Name","Country_Code","LifeExp_Female","LifeExp_Male","LifeExp_Total","GNIPerCapita","GNI","Mortality_U5_Total","Mortality_U5_Female","Mortality_U5_Male","HealthExp_percent_GDP"
2020,"Australia","AUS",85.3,81.2,83.2,53620,1.37575e+12,3.7,3.4,4.1,10.6489954
2020,"Austria","AUT",83.6,78.9,81.19268293,48990,4.36872e+11,3.6,3.3,3.9,11.47426033
2020,"Belgium","BEL",83,78.5,80.69512195,46040,5.31204e+11,4.1,3.6,4.6,11.06453228
2020,"Canada","CAN",83.96,79.49,81.6704878,43810,1.66505e+12,5.1,4.7,5.5,12.93967533
2020,"Chile","CHL",82.041,76.745,79.377,13010,2.51075e+11,6.9,6.3,7.4,9.75300503
2020,"Colombia","COL",78.136,71.537,74.769,5800,2.95511e+11,13.3,11.8,14.6,8.99294186
2020,"Costa Rica","CRI",81.912,76.751,79.277,11500,58897248120,7.9,7.4,8.4,7.855371
2020,"Czechia","CZE",81.3,75.3,78.22682927,21800,2.33177e+11,2.9,2.5,3.2,9.24007225
2020,"Denmark","DNK",83.6,79.7,81.60243902,62710,3.65663e+11,3.7,3.3,4,10.52817535
2020,"Estonia","EST",83,74.4,78.59512195,23570,31332182268,2.1,1.9,2.3,7.75206661
2020,"Finland","FIN",84.8,79.2,81.93170732,50060,2.76804e+11,2.2,2,2.4,9.61349583
2020,"France","FRA",85.3,79.2,82.17560976,39440,2.66486e+12,4.4,3.9,4.8,12.20504951
2020,"Germany","DEU",83.5,78.7,81.04146341,48050,3.99615e+12,3.6,3.4,3.9,12.82248878
2020,"Hungary","HUN",79,72.3,75.56829268,16040,1.56357e+11,4,3.7,4.4,7.25031424
2020,"Iceland","ISL",84.6,81.6,83.06341463,62110,22762034592,2.7,2.5,2.9,9.55796337
2020,"Ireland","IRL",84.4,80.8,82.55609756,65330,3.25688e+11,3.2,2.9,3.5,7.10143661
2020,"Israel","ISR",84.8,80.6,82.64878049,43310,3.9906e+11,3.4,3.1,3.7,8.31950188
2020,"Italy","ITA",84.5,80,82.19512195,32430,1.92739e+12,2.8,2.6,3,9.63378334
2020,"Japan","JPN",87.71,81.56,84.56,40870,5.1603e+12,2.4,2.3,2.5,10.9042511
2020,"Korea, Rep.","KOR",86.5,80.5,83.42682927,33040,1.71253e+12,3,2.7,3.3,8.36409569
