Time,Time Code,Country Name,Country Code,OECD,"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)","GNI per capita, Atlas method (current US$)","GNI, Atlas method (current US$)","Mortality rate, under-5 (per 1,000 live births)","Mortality rate, under-5, female (per 1,000 live births)","Mortality rate, under-5, male (per 1,000 live births)",Current health expenditure (% of GDP)
2021,YR2021,Australia,AUS,Yes,85.4,81.3,83.3,57170,1.46851E+12,3.7,3.4,4,..
2021,YR2021,Austria,AUT,Yes,83.8,78.8,81.23902439,52760,4.72474E+11,3.7,3.3,4,12.17357063
2021,YR2021,Belgium,BEL,Yes,84.4,79.5,81.8902439,50530,5.85787E+11,4.1,3.6,4.6,..
2021,YR2021,Canada,CAN,Yes,84.671,80.621,82.59660976,48720,1.86222E+12,5,4.7,5.4,11.67882252
2021,YR2021,Chile,CHL,Yes,81.437,76.472,78.944,14800,2.88415E+11,6.6,6,7.1,9.09627819
2021,YR2021,Colombia,COL,Yes,76.442,69.404,72.83,6220,3.20384E+11,12.8,11.5,14.2,..
2021,YR2021,Costa Rica,CRI,Yes,79.811,74.418,77.023,12340,63609790629,7.6,7.1,8.1,..
2021,YR2021,Czechia,CZE,Yes,80.6,74.3,77.37317073,24530,2.57691E+11,2.8,2.4,3.1,..
2021,YR2021,Denmark,DNK,Yes,83.3,79.6,81.40487805,68300,4.00037E+11,3.6,3.3,3.9,10.84632206
2021,YR2021,Estonia,EST,Yes,81.3,72.4,76.74146341,26460,35218923321,2,1.8,2.2,7.46633816
2021,YR2021,Finland,FIN,Yes,84.7,79.3,81.93414634,53280,2.95251E+11,2.2,2,2.4,..
2021,YR2021,France,FRA,Yes,85.5,79.3,82.32439024,44160,2.99155E+12,4.4,3.9,4.8,..
2021,YR2021,Germany,DEU,Yes,83.38,78.54,80.90097561,51660,4.29833E+12,3.6,3.3,3.8,12.80539513
2021,YR2021,Greece,GRC,Yes,83,77.5,80.18292683,20000,2.12807E+11,3.7,3.4,4,..
2021,YR2021,Hungary,HUN,Yes,78,71.1,74.46585366,17780,1.72632E+11,4,3.6,4.3,..
2021,YR2021,Iceland,ISL,Yes,84.5,81.8,83.11707317,63140,23521902319,2.6,2.4,2.8,9.65296936
2021,YR2021,Ireland,IRL,Yes,84.1,80.2,82.10243902,76110,3.83084E+11,3.1,2.9,3.4,6.7280345
2021,YR2021,Israel,ISR,Yes,84.6,80.5,82.5,49280,4.61515E+11,3.4,3.1,3.6,..
2021,YR2021,Italy,ITA,Yes,85.1,80.6,82.79512195,36130,2.13564E+12,2.6,2.4,2.8,9.45429516
2021,YR2021,Japan,JPN,Yes,87.57,81.47,84.44560976,43450,5.46134E+12,2.3,2.2,2.4,..
